,Indeed Snippet
391,"Degree in computer <b>science</b>, computational mathematics, <b>data</b> <b>science</b> or a related field (by the time of appointment) with some teaching experience."
392,"Work with internal <b>data</b> engineering and <b>data</b> <b>science</b> teams to support causal and predictive analysis. Knowledge of <b>data</b> visualization tools such as Tableau,…"
393,"As a crucial part of the business, you will guide and support our software developers, database architects, <b>data</b> analysts, and <b>data</b> <b>scientists</b> on business…"
394,"Manage, develop and retain team of <b>data</b> <b>scientists</b>. Statistics, Economics, Applied Math, Operations Research, other <b>Data</b> <b>Science</b> fields)."
395,"Responsible for collection of input <b>data</b> for key risk indicator reporting and <b>data</b> integrity validation. Monitors complex <b>data</b> feeds, databases and spreadsheets…"
396,"The <b>Data</b> <b>Science</b> team's predictive services are developed in Python on top of AWS Sagemaker, orchestrated by Airflow and backed by a Snowflake <b>data</b> warehouse."
397,"Experience with Workday <b>data</b> model, security, integrations and <b>data</b> load capabilities. Experience designing complex integrations with a focus on <b>data</b> modeling…"
398,"<b>Data</b> <b>Scientist</b> Senior or Lead. <b>Data</b> <b>Scientist</b> Senior to Lead. As a member of the Pricing <b>Data</b> <b>Science</b> team, you’ll use advanced analytical, machine learning and…"
399,Our team of <b>Data</b> center Operations Engineers is involved in the daily management of our 10 <b>data</b> center facilities throughout the US.
400,"Interface with <b>Data</b> <b>Science</b> team to maintain and improve web marketing <b>data</b> tables. Bachelor's degree, preferably in business, computer <b>science</b>, or a…"
401,Business <b>Data</b> Analyst - Conversational AI. <b>Data</b> is the new software. As a Business <b>Data</b> Analyst you…. You try new things in <b>data</b> production;
402,"Advanced proficiency with Python, TensorFlow and other <b>data</b> <b>science</b> tools. For that, we are looking for a <b>Data</b> <b>Science</b> Manager who will be a hands-on manager…"
403,Strong experience in working with <b>data</b> <b>science</b> teams in refining and optimizing <b>data</b> <b>science</b> and machine learning models and algorithms.
404,"As a <b>data</b> coordinator at Curate, you’ll be part of the <b>data</b> team working directly with the software developers and business development team to ensure our…"
405,"Advanced analytics, big <b>data</b>, information security, application development, cloud enablement, project management and more. Help us build a better Wells Fargo."
406,"Statistics, Mathematics, Actuarial <b>Science</b>, Economics, Engineering/Physics, Accounting, or Computer <b>Science</b>), plus 5 years of experience in <b>data</b> analysis."
407,"Implement <b>Data</b> Ingestion, Transformation and Storage for various evergreen <b>data</b> sources. Implement <b>data</b> pipeline development methods that combine internal…"
408,"Successful experience in roles such as Chief <b>Data</b> Officer (CDO), Chief Analytics Officer (CAO), Chief <b>Data</b> <b>Scientist</b>, <b>Data</b> <b>Scientist</b>, VP of Analytics and…"
409,Complete <b>data</b> cleansing and validation. Proficiency with <b>data</b> conversion concepts. Proficiency in gathering/analyzing/documenting <b>data</b> requirements.
410,Lead <b>data</b> QA efforts and establish <b>data</b> quality standards. Provision enterprise <b>data</b> from various sources and provide standard <b>data</b> extracts for updating the…
411,You will lead and grow a top-notch team of <b>data</b> <b>scientists</b> focused on creating stories and insights from <b>data</b>. We'd love to hear from you if:
412,"Petrophysical <b>Data</b> - Core <b>data</b>, geomechanics <b>data</b>, and petrophysical analysis. Champion all issues related to <b>Data</b> Security (including confidentiality), Data…"
413,"Financial, digital marketing, transactional e-commerce, event-level product <b>data</b>, unstructured <b>data</b>. We are seeking a Senior <b>Data</b> <b>Scientist</b> to be part of our…"
414,This work is done together with other <b>data</b> <b>scientists</b>. Performing some <b>data</b> exploration on the collected <b>data</b> and identify common patterns in the customer…
415,"Contribute to the City's Innovation <b>Data</b> Academy, <b>Data</b> Collaborative, Community of Practice and other citywide <b>data</b> initiatives as needed."
416,"Strong knowledge of business processes, information management, <b>data</b> flows, <b>data</b> relationships, and <b>data</b> quality standards."
417,"The <b>Data</b> & Analytics team at Slalom is a full-service <b>data</b> practice with competencies across information strategy, modern <b>data</b> architecture, <b>data</b> visualization,…"
418,Bachelor of <b>Science</b> and 5 years' <b>data</b> <b>science</b> experience OR Master of <b>Science</b> and 2 years' <b>data</b> <b>science</b> experience. Scale new algorithms to large <b>data</b> sets.
419,"A Bachelor's degree in computer <b>science</b>, business administration, systems engineering, <b>data</b> <b>science</b>, graphic design, or the equivalent applicable training and…"
420,"Experience several different <b>data</b> warehousing methodologies. Experience with Oracle <b>data</b> warehousing, Star schemas. Company with offices in Arlington, Virginia."
421,The Datacenter Technician position works on the <b>Data</b> Center Operations Team to deliver and manage <b>data</b> center facilities and physical computing environments.
422,"Responsible for the planning, design, build and maintenance of <b>data</b> architecture & <b>data</b> assets that support operations and research within the Taussig Cancer…"
423,"This individual will be an integral part of Portland’s <b>Data</b> and Analytics Practice and, in addition to working with clients, collaborate closely with members of…"
424,"Experience with <b>data</b> warehouse modeling, operational reports and <b>data</b> stores, BI reports, <b>data</b> replication, ETL technologies, <b>data</b> archival, purging and…"
425,Shall provide expertise in both defining <b>data</b> structures and <b>data</b> integration practices for business intelligence or for operational uses.
426,"Your <b>data</b> and insights will help drive strategy for improving client performance, and you can explain complex <b>data</b> in a way that is easy to understand…"
427,Experience with machine learning or artificial intelligence or <b>data</b> <b>sciences</b> frameworks is a plus. Develop services and applications in various system areas…
428,"As a <b>Data</b> Analyst Intern, you will support energy analysis and <b>data</b> collection initiatives. Support team energy analysis and <b>data</b> collection initiatives."
429,PhD degree in <b>science</b> related field; Perform Finite Element Analysis to support <b>data</b> model. Explore possible <b>data</b> models and document details of models.
430,"This role focuses on building team capabilities in Visualization & Storytelling, including the development of visual representations of <b>data</b> combining industry…"
431,"Bachelor’s degree in the natural or engineering <b>sciences</b> including computer <b>science</b>, electrical engineering, or other applied degrees (or Master’s degree and…"
432,"Associate or Bachelor of <b>Science</b> (BS) Degree in Engineering, Space Systems, <b>Science</b> or Management. Log <b>data</b> submittals as received."
433,"Travel as needed to provide insight and feedback to suppliers and <b>data</b> centers around the world. BS in Computer Engineering/Science, Information Security, or…"
434,"Leverage experience in architecting <b>data</b> warehouse solutions, including a strong background in <b>Data</b> Architecture, <b>Data</b> Modeling, <b>Data</b> Governance."
435,"Experience in developing <b>data</b> analytics tools, web frameworks and architecture. Come join the AmeriHome's team, as a <b>Data</b> Services Web Engineer."
436,"Minimum of seven (7) years of <b>data</b> management experience, including three (3) years of managing <b>data</b> management projects. Travel Yes, 25 % of the Time."
437,"Tracks, organizes and prioritizes <b>data</b> for entry into clinical research <b>data</b> capture systems and other <b>data</b> entry system across the division."
438,"Energy Cap Meter project, fleet <b>data</b>, waste management <b>data</b>, 311 <b>data</b>, etc. Maintain <b>data</b> accuracy through best practices in <b>data</b> management."
439,"Able to understand various <b>data</b> structures and common methods in <b>data</b> transformation. 5+ years’ practical experience with SAS, ETL, <b>data</b> processing, database…"
440,"Experience with visualizing <b>data</b> (e.g. Academic <b>Data</b> Analyst & Systems Engineer. Experience with programmatic <b>data</b> analysis (e.g., using Pandas in Python) and…"
441,"Create <b>data</b> tools for front-end analytics and <b>data</b> <b>scientist</b> team members that assist them in their responsibilities. If so, Datastrong is the place for you!"
442,"Performs research and analysis on processes, applications, systems and <b>data</b> to identify functional requirements for application or system design."
443,"<b>Data</b> management, <b>data</b> governance, <b>data</b> quality, <b>data</b> <b>science</b>. Knowledge of advanced <b>data</b> quality analysis and reporting of multiple commercial, consumer,…"
444,Building Energy Modeling and <b>Data</b> Analytics III. Writing papers for peer-reviewed <b>science</b> journals and professional conferences.
445,"At least 5 years of experience with <b>data</b> modeling, <b>data</b> governance, and <b>data</b> quality. <b>Data</b> Profiling and Quality Assessment. O Experience with AWS Cloud."
446,Own an entire key area of <b>data</b> within a NewWave product from <b>data</b> generation to consumption/presentation. Provide consulting to engineering and <b>data</b> science…
447,"The <b>Data</b> & Analytics team at Slalom is a full-service <b>data</b> practice with competencies across information strategy, modern <b>data</b> architecture, <b>data</b> visualization,…"
448,"The Sr <b>Data</b> Warehouse Analyst will lead a development team responsible for developing, implementing and maintaining <b>data</b> warehouses using the Microsoft SQL…"
449,"At least two years’ experience in health <b>sciences</b> research or health <b>data</b> analysis. Assists in interdepartmental coordination, <b>data</b> collection, information…"
450,"Interpret and deliver impactful plans that specify strategy and improve <b>data</b> integration, <b>data</b> quality and <b>data</b> <b>science</b> delivery in support of business…"
451,Are familiar with <b>Data</b> <b>Science</b> workflows and notebook-style interfaces such as Jupyter. Create multi-tenant <b>data</b> stores that will allow our customers to…
452,<b>Data</b> Governance Director - Customer <b>Data</b> Operations. Run the <b>Data</b> Governance Organization for Customer Master <b>Data</b>. Advanced SQL skills and <b>Data</b> Modeling.
453,"Candidates should have a basic knowledge of at least one GIS or ESRI platform (e.g., ArcGIS Desktop, ArcPro, ArcOnline, Collector, Survey123, etc), data…"
454,We seek applicants with a strong interest in teaching and scholarship in the fields in <b>Data</b> Analytics and <b>Data</b> <b>Science</b>. DAN 606 – Big <b>Data</b> Management.
455,Chase <b>Data</b> & Analytics Team unifies <b>data</b> and analytics talent across Chase to responsibly leverage <b>data</b> to build competitive advantages for our businesses with…
456,"Designing clean, scalable <b>data</b> models and <b>data</b> access patterns. Very strong Computer <b>Science</b> fundamentals in algorithm design, <b>data</b> structures, problem solving,…"
457,"Engineering, Computer <b>Science</b>, and/or <b>Data</b> Management education. Able to communicate clearly and escalate as needed to maintain defensibility of <b>data</b> and data…"
458,"Experience with master <b>data</b> management and <b>data</b> governance. Collaborate with architects, value owners, project managers, delivery leads, <b>data</b> scientists,…"
459,"Other forms of <b>data</b> markup. The Alexa <b>Data</b> Services (ADS) organization provides <b>data</b> creation, curation, and analytics services to help develop, test, and train…"
460,"Undergraduate degree in computer <b>science</b>, information technology, or other computational <b>sciences</b>. We are searching for a <b>Data</b> Engineer with 5+ years of…"
461,"Statistics, Economics, Applied Math, Operations Research, other <b>Data</b> <b>Science</b> fields). Expert knowledge in quantitative methods for business, advanced data…"
462,"One year of college course work including courses in computer <b>sciences</b> or a closely related field. This position, <b>Data</b> Technician (Job Requisition # 4861), is…"
463,Analyze and document legacy <b>data</b> warehouse and <b>data</b> integration processes. The position will assist the team in documenting and enhancing <b>data</b> warehouse…
464,"Designing clean, scalable <b>data</b> models and <b>data</b> access patterns. Very strong Computer <b>Science</b> fundamentals in algorithm design, <b>data</b> structures, problem solving,…"
465,"Development of controls to mitigate <b>data</b> quality risks including <b>data</b> quality plan development, monitoring <b>data</b> quality results, reports and dashboards, as…"
466,"Monitors ongoing <b>data</b> feeds and perform root cause analysis and investigations on <b>data</b> quality issues. Ability to learn complex <b>data</b> structure, prevailing data…"
467,"Perform basic <b>data</b> management tasks. Train support staff on entering patient <b>data</b> collected measures in <b>data</b> management programs, as well as other projects -…"
468,"Enterprise <b>data</b> architecture, business intelligence, <b>data</b> warehousing, <b>data</b> <b>science</b>, and artificial intelligence to use the use of <b>data</b> to improve enterprise…"
469,3+ years of <b>data</b> loss prevention experience. The Information Security Engineer within <b>Data</b> Protection will: Performs all procedures asked to ensure the safety…
470,Excellent <b>data</b> manipulation and interpretation skills. Proficient in <b>data</b> visualization and analytics tools. Use statistical methods and/or predictive modeling…
471,"Microsoft <b>data</b> tools, concepts and technologies. CPA - <b>Data</b> Analysis and Transparency Intern (00008728). Assists with research, writing, <b>data</b> entry/analysis,…"
472,"Perform <b>data</b> backups and restorations. Assist with reports and <b>data</b> extraction/analysis when needed. <b>Data</b> include fishery landings, observer catch records,…"
473,"Workload focus includes <b>data</b> wrangling, <b>data</b> shaping and <b>data</b> loading to support sales and marketing trend analysis, forecasting, goal setting."
474,"Bachelor of <b>Science</b> in Nursing preferred. Collects, validates and submits reliable clinical <b>data</b> to the clinical registries, while analyzing the <b>data</b> and…"
475,OR a Bachelor's of <b>Science</b> in Nursing (BSN) with no additional nursing practice/experience. The MDS Nurse is a registered professional nurse who adheres to…
476,"In-depth understanding of <b>data</b> modeling, <b>data</b> structures and algorithms. Experience with or advance courses on <b>data</b> <b>science</b> and machine learning is ideal."
477,"Advises IT management on enterprise <b>data</b> management strategies, on-premise and cloud/offsite hosting, the creation and management plans for <b>data</b> warehousing,…"
478,Lead and/or contribute for the development of <b>data</b> models for diverse <b>data</b> types. Unlocking value of new <b>science</b>: Understanding of genomic <b>data</b> formats (e.g.
479,"Bayer Animal Health Change Management and Master <b>Data</b> Analyst for Project Explorer. Create, maintain, and make obsolete all SAP Material Master <b>Data</b> at the…"
480,Investigate and implement <b>data</b> ecosystems to support engineering and <b>data</b> <b>science</b>. Coordinate with <b>Data</b> <b>Science</b> team to support their requirements.
481,Responsible for the <b>Data</b> Governance of Abiomed’s Impella Connect <b>data</b> platform from <b>data</b> ingestion through storage in the master <b>data</b> repository (Azure Data…
482,"As a <b>Data</b> Integration Developer, you will support <b>data</b> related initiatives within <b>Data</b> Strategy and Architecture (DSA) with a focus for the SANDBAR program."
483,"One (1) year experience in <b>data</b> modeling and analytics. Following procedures and policies, and applying <b>data</b> and resources to support projects or initiatives;"
484,"Knowledge of <b>data</b> administration, repository management, and <b>data</b> warehousing. Develop in-depth understanding of underlying <b>data</b>, <b>data</b> structures, and business…"
485,"Duties include report generation, <b>data</b> validation, clinical <b>data</b> studies, and development of systems for organizing <b>data</b> to analyze, identify and report trends."
486,"<b>Data</b> cleaning, reproducibility, coding, <b>data</b> standards, <b>data</b> preservation, <b>data</b> finding, quantitative or qualitative <b>data</b> analysis, and data/text mining."
487,"Create <b>data</b> interfaces and scripts to load the enterprise <b>data</b> warehouse, <b>data</b> lake, <b>data</b> marts and other analytics environments to support enterprise-wide data…"
488,The Department of Quantitative Health <b>Sciences</b> (QHS) at the Cleveland Clinic main campus is searching for a doctoral level biostatistician to grow and lead Data…
489,Provides support to Systems Management and Operations teams by troubleshooting application and <b>data</b> problems and fulfilling <b>data</b> requests.
490,"Serve as the primary internal and Sponsor contact for <b>Data</b> Management questions, issues, or concerns including, but not limited to <b>Data</b> collection, Data…"
491,"~ Alteryx, Tableau, or Python <b>Data</b> <b>Science</b> certification preferred, but not required. ~ Bachelor’s degree in a quantitative field such as business, math, social…"
492,"Creates and enhances <b>data</b> solutions that enable seamless integration and flow of <b>data</b> across the <b>data</b> ecosystem. At a minimum, here’s what we need from you:"
493,"May need experience in computer <b>science</b> is required. Database management, medical record review for <b>data</b> abstraction. Get With the Guidelines Stroke Registry."
494,"<b>Data</b> management, <b>data</b> governance, <b>data</b> quality, <b>data</b> <b>science</b>. Knowledge of advanced <b>data</b> quality analysis and reporting of multiple commercial, consumer,…"
495,BS in Computer <b>Science</b> or equivalent. Lead design & development of <b>data</b> pipelines. Experience with <b>data</b> processing frameworks e.g. Spark.
496,"Bachelor’s degree in computer <b>sciences</b>, information systems, or related discipline required. This position will be located in the <b>Data</b> Integration & Management…"
497,"Cognos, Tableau, PowerBI, Zoom <b>Data</b>. Cloud computing <b>data</b> pipeline experience (Azure preferred). The American Airlines Business Analytics department is looking…"
498,"Job Function <b>Data</b> Architecture/ <b>Data</b> Analytics. The incumbent should be an experienced <b>data</b> analyst, <b>data</b> pipeline builder and <b>data</b> wrangler who enjoys…"
499,"To manipulate <b>data</b> and draw insights from large <b>data</b> sets. Code, infrastructure, <b>data</b>, and message processing. Insights from <b>data</b> to solve business problems."
500,Solid exposure with <b>Data</b> Integration and Transmission technologies. The <b>Data</b> Integration Engineering Manager provides strategic direction and leadership in…
501,"Document <b>data</b> dictionary, <b>data</b> understanding, modeling strategy and approaches, and build company’s knowledge base of <b>data</b> and models."
502,"Monitor <b>data</b> collection, coding, and cleaning by CROs through tracking of study metrics and targeted <b>data</b> reviews. Oversee all <b>data</b> management (CDM) activities;"
503,This team will be primarily responsible for ensuring insurance carrier <b>data</b> accuracy and customer and insurance policy <b>data</b> quality as it relates to carrier…
504,"Experience with database, <b>data</b> model and <b>data</b> warehouse concepts. Manages collateral risk <b>data</b> management activities focusing on requirements gathering and…"
505,"The team encompasses a variety of <b>Data</b> & Analytics disciplines, from <b>data</b> governance and <b>data</b> strategy/partnerships to reporting, <b>data</b> <b>science</b> and machine…"
506,Designing and implementing <b>data</b> center solutions. Bachelor' s degree in computer <b>science</b> preferred. Perform <b>data</b> backups and disaster recovery operations.
507,"Information Security and <b>Data</b> Privacy Analyst. Serve as lead analyst and administrator for privacy management software platform to manage <b>data</b> subject requests,…"
508,"Solve marketing and product analytics problems by doing work such as developing <b>data</b> structures, pipelines, and <b>data</b> visualizations that enable us to find…"
509,"Understanding of <b>Data</b> Integration flavors. Implement product demos and pilots to showcase <b>Data</b> Virtualization in enterprise scenarios, cloud deployments and Big…"
510,We are embarking on a significant initiative to transform all aspects of <b>data</b> management services within Total Wine and More including enterprise data…
511,"The IM&A <b>Data</b> Engineering Solutions team supports predictive models, analytics, and <b>data</b> exploration through deep business and <b>data</b> expertise, supporting…"
512,"Software Developer - <b>Data</b> Transfer Service (JoinOCI-ObjectStore)-200000H1. We enable customers to quickly move <b>data</b> of any type, include databases, <b>data</b> lakes,…"
513,"Demonstrated technical expertise in Large-Scale <b>Data</b> Processing, including experience deploying one or more large scale <b>data</b> system."
514,"Documenting <b>data</b> requirements, <b>data</b> collection / processing / cleaning, and exploratory <b>data</b> analysis; Compile and review <b>data</b> from multiple enterprise data…"
515,One year prior experience as a Vermont Department of Taxes <b>Data</b> Clerk . Minimum Qualifications High school diploma or equivalent AND four 4 years or more of…
516,"Experience working with and wrangling <b>data</b> from multiple <b>data</b> sources to develop a single process. Influence, provide leadership, and guidance over a team of…"
517,"Work with Product Management on what problems to tackle and collaborate with <b>Data</b> <b>Science</b> and <b>Data</b>. We are seeking thinkers, people who don't just do what they…"
518,"<b>Data</b> Comm Chief Systems Engineer. Bachelor’s Degree in Computer <b>Science</b>, Computer Engineering, Electrical Engineering or Information Systems."
519,"Familiarity with <b>data</b> center concepts. Uses <b>data</b> to make data-driven proposals and decisions. Bachelor’s degree, preferably in computer <b>science</b>, or a similar…"
520,Your internship with the Enterprise <b>Data</b> Services team will be an opportunity to experience what it takes to be a cloud <b>data</b> practitioner.
521,"As Manager of Advertising <b>Data</b> Service APIs, you will work closely with our Advertising Product, Analytics and <b>Data</b> <b>Science</b> teams to set the technical direction…"
522,"Serve as the primary internal and Sponsor contact for <b>Data</b> Management questions, issues, or concerns including, but not limited to <b>Data</b> collection, Data…"
523,"Define and lead a best-in-class <b>Data</b> & Analytics Run organization, understanding the need to implement monitoring, alerting, and automation to ensure our data…"
524,"To enter and retrieve <b>data</b> into a computer program, manually record <b>data</b>, and make observations. Designs and enter <b>data</b> in spreadsheets."
525,"10+ years of IT experience including <b>Data</b> Integration, <b>Data</b> Quality, <b>Data</b> Migration, <b>Data</b> Governance projects. PHS Enterprise <b>Data</b> & Digital Health."
526,"Bachelor's degree in Computer <b>Science</b>, Information Technology, Information Security, <b>Data</b> Analysis, Math, Statics or other related majors."
527,Solid database and <b>data</b> analyst skills required. Perform <b>data</b> entry and reconcile any inconsistencies that may appear in databases;
528,Comfort with working on <b>data</b> ingest and processing for a SaaS system at scale. Teikametrics is looking for a software engineer with strong computer science…
529,"Prior experience working as a <b>data</b> analyst and modeler in a <b>data</b> warehouse, <b>data</b> lake, or operational <b>data</b> store environment;"
530,"Pursuing Bachelors or Masters of <b>Science</b> degree in Computer <b>Science</b>, Statistics, Engineering or equivalent•Experience/Knowledge of Object Oriented Programming…"
531,Computer <b>Science</b> or other technical degree (or equivalent job experience). We are playing in the AI/machine learning space and striving to build conversational…
532,Senior Software Development Engineer - Machine Learning - OCI <b>Data</b> <b>Science</b> Cloud Service-200000ZW. Senior Software Development Engineer - Machine Learning - OCI…
533,"1+ year of experience leading a team of <b>data</b> analysts or <b>data</b> engineers. Managing team of <b>data</b> engineers and <b>data</b> analysts, guiding, mentoring and helping them…"
534,"Demonstrated technical expertise in Large-Scale <b>Data</b> Processing, including experience deploying one or more large scale <b>data</b> system."
535,"Your system will power all <b>data</b> pipelines & <b>data</b> <b>science</b> use-cases across Groupon. Our mission is to empower <b>data</b> engineers, software engineers & data…"
536,Advise <b>data</b> <b>scientists</b> and business partners on applying computer vision in their work. Build strong relationships between business units and <b>data</b> <b>science</b> and…
537,"As an Enterprise <b>Data</b> management (EDM) <b>Data</b> Engineering Intern, you will work alongside a team of Business Intelligence (BI) Analysts and <b>Data</b> Engineers to…"
538,"Define intermediate to advanced <b>data</b> profiling, metadata documentation, <b>data</b> lineage, and <b>data</b> transformation rules in support of key program deliverables."
539,"Experience documenting ontologies, <b>data</b> models, schemas, formats, <b>data</b> element dictionaries, software application program interfaces and other technical…"
540,This Policy <b>Data</b> Quality team will be primarily responsible for ensuring insurance carrier <b>data</b> accuracy and customer and insurance policy <b>data</b> quality as it…
541,Provide robust analytics platforms to Joby <b>Data</b> <b>Scientists</b> and Analysts. Support visualization and presentation tools that help <b>Scientists</b> and Engineers realize…
542,A solid hands-on understanding of software engineering fundamentals and computer <b>science</b>. Proven skills and experience building high-throughput and high-volume…
543,"The team encompasses a variety of <b>Data</b> & Analytics disciplines, from <b>data</b> governance and <b>data</b> strategy/partnerships to reporting, <b>data</b> <b>science</b> and machine…"
544,"Have taken courses or completed research in the areas of operating systems, files systems, big <b>data</b>, machine learning, compilers, algorithms and <b>data</b> structures…"
545,"As an Enterprise <b>Data</b> management (EDM) <b>Data</b> Engineering Intern, you will work alongside a team of Business Intelligence (BI) Analysts and <b>Data</b> Engineers to…"
546,"We have partnered with Purdue Global University to provide affordable education opportunities for careers in security, public safety, criminal justice, business…"
547,Our client is looking for a clinical <b>data</b> manager to assist with <b>data</b> transfer activities. 5+ years of <b>data</b> management experience required.
548,"The <b>Data</b> Engineer will support our software developers, database architects, <b>data</b> analysts and <b>data</b> <b>scientists</b> on <b>data</b> initiatives and will ensure optimal data…"
549,Collaborates with Commercial Analytics and Information Management Team and the Digital Center of Excellence to ensure proper <b>data</b> flows of digital marketing…
550,We're looking for an intern <b>data</b> <b>scientist</b> to help us make that vision a reality by developing and refining cutting-edge machine learning models and data…
551,"Database architecture and <b>data</b> warehousing. The team is composed of <b>Data</b> Engineers, <b>Data</b> <b>Scientists</b>, and Software Developers working in a state of the art…"
552,The <b>Data</b> <b>Scientist</b> will deliver critical advanced analytics to support PathGroup's <b>Data</b> <b>Science</b> practice and its adoption of Artificial Intelligence (AI)…
553,Ability to work collaboratively with other <b>data</b> <b>scientists</b> and O&I staff. The <b>Data</b> <b>Scientist</b> will join the <b>Data</b> Analytics Team of the Oversight and…
554,<b>Data</b> <b>Scientist</b> / Machine Learning Engineer / Software Engineer*. Optimize <b>data</b> analysis workflow to improve efficiency of our <b>scientists</b> in discovering new…
555,"C++ or Java, mathematical modeling (like optimization model) or computer algorithm.*. Need experience candidates who can program in C++ (or Java if we cannot…"
556,"In Computer <b>Science</b>, <b>Data</b> <b>Science</b>, Economics/Econometrics, Statistics, Operations Research, or a similar quantitative field."
557,"NU Borders LLC is a Washington, DC-based based <b>Data</b> <b>Science</b> and <b>Data</b> Analytics consultancy that focuses on using cutting edge tools to solve data-driven…"
558,Thanks for considering our <b>Data</b> <b>Scientist</b> role. Communicating the application and benefits of using various <b>data</b> <b>science</b> techniques to improve decision-making.
559,"<b>Data</b> Analysis – Understanding and analyzing large, complex, multi-dimensional datasets and build/enhance <b>data</b> <b>science</b> features relevant for unique client…"
560,The incumbent will provide <b>data</b> analytics and <b>data</b> visualization support for Manufacturing <b>Science</b> and Technology (MS&T) group. Join us and make a difference.
561,"BS, MS in a field related to <b>Data</b> <b>Science</b>, Computer Engineering, Statistics, Mathematics, or a closely related quantitative is required."
562,"The Analytics Research and Development team within Ford’s Global <b>Data</b>, Insight and Analytics (GDI&A) organization is looking for a highly skilled quantitative…"
563,"Experience in operations analysis, <b>data</b> analytics, computer <b>science</b> or related field. Bachelor’s, Master’s or PhD degree in <b>Data</b> <b>Science</b>, Mathematics,…"
564,"Proven experience in <b>data</b> modeling, ETL development, and <b>data</b> warehousing, or similar skills. Proven track record of successful communication of data…"
565,"7+ continuous years of professional experience as a <b>Data</b> <b>Scientist</b>. To manipulate <b>data</b> and draw insights from large <b>data</b> sets. C, C++, Java, JavaScript, etc."
566,Demonstrated experience with <b>data</b> <b>science</b> techniques or formal <b>data</b> <b>science</b> training. The <b>Data</b> <b>Scientist</b> shall compile <b>data</b> analysis and conduct needs…
567,"<b>Data</b> mining, cleaning and engineering: Identify necessary <b>data</b> elements and their sources, leverage appropriate tools to acquire and consolidate large volumes…"
568,"Expert knowledge of machine learning, predictive modeling, statistics and <b>data</b> <b>science</b> in general. Proficiency in one or multiple <b>data</b> <b>science</b> programming…"
569,"<b>Data</b> <b>Science</b>, Python, Machine Learning. 7+ continuous years of professional experience as a <b>Data</b> <b>Scientist</b>.*. Develop custom <b>data</b> models and algorithms to apply…"
570,"Ability to use <b>data</b> visualization tools to showcase <b>data</b> for stakeholders like PowerBI, Tableau. Experience using and developing <b>data</b> architectures."
571,"As a <b>Data</b> Engineer/Scientist with MTSI, You will be responsible for developing and managing our organic capabilities for <b>data</b> <b>science</b> to support intel planning…"
572,"BS or MS of degree in Computer <b>Science</b>, Information Technology, Engineering or related field is required (STEM). Must be open to relocation."
573,Our <b>Data</b> <b>Scientists</b> are instrumental in transforming Zoro’s <b>data</b> into insights and actionable results that drive the business forward.
574,3+ years experience with <b>data</b> <b>science</b> and/or software engineering. Perform hands-on <b>data</b> analysis and modeling with huge <b>data</b> sets.
575,"We also offer many company-sponsored classes and conferences that focus on <b>data</b> <b>science</b>, ML, and engineering excellence. Here's a bit about us."
576,"Collaborating with an interdisciplinary team of <b>data</b> <b>scientists</b>, software engineers, dev ops engineers, and subject matter experts."
577,In-depth knowledge of applied <b>data</b> <b>science</b>. Nike is seeking a <b>Data</b> <b>Scientist</b> to join our rapidly growing Direct Product <b>Sciences</b> team within the Consumer Direct…
578,<b>Data</b> analysis experience performing analyses and presenting of <b>data</b>. Prior experience in BI <b>data</b> warehouse projects.
579,"Experience using bathymetric <b>data</b>, a plus. BS in Computer <b>Science</b>, related degree, or equivalent. Creating a geoJSON using the XYTZ <b>data</b> and submit a POST…"
580,"Participates in the <b>data</b> gathering, <b>data</b> processing and <b>data</b> mining of large and complex datasets. May partner with <b>Data</b> Architects, <b>Data</b> Analysts, Data…"
581,"Perform <b>data</b> analysis to understand the source <b>data</b>, its structure and underlying <b>data</b>. 3+ years of relevant experience in <b>data</b> analysis and/or <b>data</b> management."
582,Use <b>data</b> to understand business patterns and trends. Analyze internal and external <b>data</b> through quantitative research. Advanced expertise in Microsoft Excel.
583,"A <b>Data</b> <b>Scientist</b> II will be expected to understand the business goals/needs, utilize big <b>data</b> technology to ingest and analyze large amounts of <b>data</b>, and…"
584,"Staff <b>Data</b> <b>Scientist</b> - Image and Video Analytics. Hands-on skills in machine learning, deep learning, statistical algorithms, <b>data</b> mining, <b>data</b> structures, and…"
585,"This <b>Data</b> <b>Scientist</b> role is within the Black Lotus Labs Threat Research Team. The <b>Data</b> <b>Scientist</b> is responsible for developing tools to collect, clean, analyze…"
586,"At least 7 years of experience as a <b>data</b> <b>scientist</b>. Stay current on new <b>data</b> <b>science</b> methods, technologies, and industry trends."
587,Lead and mentor less <b>Data</b> <b>Scientist</b> team. Experience leading end-to-end <b>data</b> <b>science</b> project implementation. Work with data-sets of varying degrees of size and…
588,"Familiarity with programming for <b>data</b> analysis; Ideal candidate should have a degree in a quantitative field (e.g., mathematics, computer <b>science</b>, physics,…"
589,"Experience performing business analysis or financial/statistical <b>data</b>. Financial analysis, <b>data</b> analysis, trend identification, as well as monitoring and…"
590,Responsible for advanced and predictive <b>data</b> analytics using big <b>data</b> and <b>data</b> <b>science</b> technology for healthcare innovation and outcomes.
591,"You’ll collaborate with a high performing, cross-disciplinary team including advanced <b>data</b> analysts, <b>data</b> engineers, consultants, and market researchers—all…"
592,Establish fit-for-purpose <b>data</b> acquisition and analysis pathway for all <b>data</b> nodes to enable better visibility and process understanding.
